Keep,Order,ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,sample,details
No,,GO:1901004,ubiquinone-6 metabolic process,3,-0.896696477,-1.403401074,0.022453921,0.022453921,0.767217225,570,"tags=100%, list=10%, signal=90%",YGL119W/YLR290C,1734,Revigo compressed
No,,GO:1901006,ubiquinone-6 biosynthetic process,3,-0.896696477,-1.403401074,0.022453921,0.022453921,0.767217225,570,"tags=100%, list=10%, signal=90%",YGL119W/YLR290C,1734,Manually compressed, strain specific
No,,GO:0061187,regulation of rDNA heterochromatin formation,10,0.690665736,1.763797666,0.022638972,0.022638972,0.767217225,1098,"tags=70%, list=20%, signal=56%",YMR263W/YAL013W/YNL330C/YPL181W/YBR095C/YOL004W/YIL084C,1734,Revigo compressed
No,,GO:1902116,negative regulation of organelle assembly,5,0.790390486,1.600407699,0.022824843,0.022824843,0.767217225,954,"tags=80%, list=17%, signal=66%",YFR046C/YJL164C/YKL166C/YCR093W,1734,Revigo compressed
No,,GO:0051418,microtubule nucleation by microtubule organizing center,3,-0.895936415,-1.402211516,0.022967148,0.022967148,0.767217225,63,"tags=67%, list=1%, signal=66%",YNL126W/YLR212C,1734,Revigo compressed
No,,GO:0046824,positive regulation of nucleocytoplasmic transport,5,0.787611791,1.594781309,0.023592047,0.023592047,0.767217225,657,"tags=80%, list=12%, signal=70%",YNL207W/YMR216C/YNL298W/YBL016W,1734,Revigo compressed
No,,GO:2000677,regulation of transcription regulatory region DNA binding,6,0.765724949,1.636864436,0.024123818,0.024123818,0.767217225,327,"tags=50%, list=6%, signal=47%",YPR086W/YDR098C/YDL106C,1734,Revigo compressed
No,,GO:0032239,regulation of nucleobase-containing compound transport,5,0.786358232,1.592243063,0.024359251,0.024359251,0.767217225,230,"tags=40%, list=4%, signal=38%",YNL207W/YER107C,1734,Revigo compressed
No,,GO:0006418,tRNA aminoacylation for protein translation,35,0.429912846,1.505210879,0.024518116,0.024518116,0.767217225,1076,"tags=43%, list=20%, signal=35%",YPL097W/YHR019C/YNL247W/YHR020W/YPR047W/YGL105W/YER087W/YCR024C/YKL194C/YPL040C/YHR011W/YDR037W/YGR094W/YOL097C/YGR185C,1734,Revigo compressed
No,,GO:0010455,positive regulation of cell fate commitment,4,0.82496829,1.558696782,0.0248084,0.0248084,0.767217225,895,"tags=75%, list=16%, signal=63%",YPL016W/YOR290C/YDR146C,1734,Revigo compressed
No,,GO:0031496,positive regulation of mating type switching,4,0.82496829,1.558696782,0.0248084,0.0248084,0.767217225,895,"tags=75%, list=16%, signal=63%",YPL016W/YOR290C/YDR146C,1734,Manually compressed, strain specific
No,,GO:0006754,ATP biosynthetic process,16,0.566247751,1.633968324,0.025234945,0.025234945,0.767217225,145,"tags=25%, list=3%, signal=24%",YDR298C/YDR377W/YDL004W/YPL271W,1734,Revigo compressed
No,,GO:0015986,proton motive force-driven ATP synthesis,16,0.566247751,1.633968324,0.025234945,0.025234945,0.767217225,145,"tags=25%, list=3%, signal=24%",YDR298C/YDR377W/YDL004W/YPL271W,1734,Revigo compressed
No,,GO:0044283,small molecule biosynthetic process,330,-0.361353037,-1.26492263,0.025329281,0.025329281,0.767217225,1215,"tags=25%, list=22%, signal=21%",YOL143C/YMR070W/YLR377C/YOR171C/YLR231C/YBR053C/YPL268W/YNR027W/YMR322C/YJR016C/YLR070C/YLR451W/YNL037C/YNL332W/YKL150W/YDR007W/YDR399W/YHR067W/YER061C/YOR047C/YMR083W/YOR130C/YLR134W/YHR072W/YJL153C/YLR303W/YER023W/YGL115W/YBR105C/YGR012W/YDR487C/YOR202W/YGL062W/YGL202W/YPR121W/YEL012W/YIL020C/YGR267C/YIL116W/YBR002C/YJR025C/YHR007C/YJR148W/YLL058W/YJL196C/YBR035C/YMR202W/YKL055C/YOL052C/YOR184W/YLR058C/YGR192C/YLR201C/YPL170W/YMR095C/YJL071W/YGL055W/YDL015C/YHL018W/YDR081C/YNL333W/YER044C/YDR313C/YFL018C/YDR354W/YER091C/YLL062C/YMR321C/YDR236C/YOR303W/YBR084W/YGL119W/YGR175C/YOL008W/YPL148C/YDR173C/YML008C/YDR511W/YLR290C/YLR100W/YJR139C/YBR026C/YMR009W/YBR176W,1734,Revigo compressed
No,,GO:0000416,positive regulation of histone H3-K36 methylation,3,0.87619025,1.531843098,0.02552971,0.02552971,0.767217225,557,"tags=67%, list=10%, signal=60%",YLR418C/YBR279W,1734,Revigo compressed
No,,GO:2001255,positive regulation of histone H3-K36 trimethylation,3,0.87619025,1.531843098,0.02552971,0.02552971,0.767217225,557,"tags=67%, list=10%, signal=60%",YLR418C/YBR279W,1734,Revigo compressed
No,,GO:0072414,response to mitotic cell cycle checkpoint signaling,3,0.876152569,1.53177722,0.02552971,0.02552971,0.767217225,33,"tags=33%, list=1%, signal=33%",YPL209C,1734,Revigo compressed
No,,GO:0072476,response to mitotic spindle checkpoint signaling,3,0.876152569,1.53177722,0.02552971,0.02552971,0.767217225,33,"tags=33%, list=1%, signal=33%",YPL209C,1734,Revigo compressed
No,,GO:0072479,response to mitotic cell cycle spindle assembly checkpoint signaling,3,0.876152569,1.53177722,0.02552971,0.02552971,0.767217225,33,"tags=33%, list=1%, signal=33%",YPL209C,1734,Revigo compressed
No,,GO:0072485,response to spindle assembly checkpoint signaling,3,0.876152569,1.53177722,0.02552971,0.02552971,0.767217225,33,"tags=33%, list=1%, signal=33%",YPL209C,1734,Revigo compressed
No,,GO:1901925,negative regulation of protein import into nucleus during spindle assembly checkpoint,3,0.876152569,1.53177722,0.02552971,0.02552971,0.767217225,33,"tags=33%, list=1%, signal=33%",YPL209C,1734,Manually compressed, strain specific
No,,GO:0010960,magnesium ion homeostasis,3,-0.890441383,-1.393611355,0.025533284,0.025533284,0.767217225,180,"tags=67%, list=3%, signal=65%",YKL064W/YOL130W,1734,Revigo compressed
No,,GO:0010961,cellular magnesium ion homeostasis,3,-0.890441383,-1.393611355,0.025533284,0.025533284,0.767217225,180,"tags=67%, list=3%, signal=65%",YKL064W/YOL130W,1734,Revigo compressed
No,,GO:0072593,reactive oxygen species metabolic process,15,-0.670461765,-1.564914051,0.025779636,0.025779636,0.767217225,635,"tags=60%, list=12%, signal=53%",YGR088W/YGR192C/YHR008C/YMR038C/YLR109W/YJR104C/YFL018C/YJR101W/YDR353W,1734,Manually compressed, strain specific
No,,GO:0000097,sulfur amino acid biosynthetic process,38,-0.532692998,-1.506092642,0.025896118,0.025896118,0.767217225,841,"tags=29%, list=15%, signal=25%",YLR303W/YGR012W/YGL202W/YJR148W/YLL058W/YER091C/YLL062C/YMR321C/YBR084W/YJR139C/YMR009W,1734,Revigo compressed
No,,GO:0000377,"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile",102,0.310562758,1.316959134,0.026007962,0.026007962,0.767217225,594,"tags=20%, list=11%, signal=18%",YPR182W/YGL128C/YMR268C/YBL026W/YPR101W/YNL210W/YDR240C/YNL147W/YNR011C/YLR275W/YLR116W/YPL184C/YMR216C/YPR045C/YBR237W/YML029W/YGR129W/YER172C/YJL203W/YKL095W,1734,Revigo compressed
No,,GO:0022618,ribonucleoprotein complex assembly,153,0.282103296,1.28989978,0.026194712,0.026194712,0.767217225,595,"tags=23%, list=11%, signal=21%",YPR182W/YOL080C/YKL156W/YMR268C/YMR260C/YFL002C/YDR418W/YNR037C/YJR007W/YGR159C/YNR011C/YER025W/YLR275W/YPR163C/YLR418C/YLR167W/YPL193W/YIL148W/YIL104C/YOL077C/YJR055W/YMR216C/YGR162W/YGR148C/YBR237W/YDR117C/YIL110W/YCR031C/YMR229C/YPL119C/YHR066W/YER172C/YNL185C/YKL095W/YGL031C,1734,Revigo compressed
No,,GO:0006469,negative regulation of protein kinase activity,22,-0.593953775,-1.50843423,0.026579509,0.026579509,0.771718114,118,"tags=41%, list=2%, signal=40%",YPL004C/YIL033C/YGR086C/YAL056W/YOR371C/YDL177C/YLR079W/YGL019W/YOR039W,1734,Revigo compressed
No,,GO:0051101,regulation of DNA binding,15,0.614306454,1.721049302,0.027129592,0.027129592,0.775615388,368,"tags=40%, list=7%, signal=37%",YPR086W/YPR052C/YDR098C/YJL090C/YDL106C/YBR160W,1734,Revigo compressed
No,,GO:0045860,positive regulation of protein kinase activity,29,0.453768803,1.511280901,0.027563139,0.027563139,0.775615388,795,"tags=34%, list=15%, signal=30%",YHR107C/YDL130W/YDR052C/YJL090C/YKL189W/YPL194W/YLR423C/YNL298W/YDR460W/YFL034C-B,1734,Revigo compressed
No,,GO:0015074,DNA integration,4,0.816538883,1.542770243,0.027838377,0.027838377,0.775615388,1009,"tags=100%, list=18%, signal=82%",YPR110C/YER148W/YNL039W/YGR246C,1734,Revigo compressed
No,,GO:0070893,transposon integration,4,0.816538883,1.542770243,0.027838377,0.027838377,0.775615388,1009,"tags=100%, list=18%, signal=82%",YPR110C/YER148W/YNL039W/YGR246C,1734,Revigo compressed
No,,GO:0045936,negative regulation of phosphate metabolic process,49,-0.502707982,-1.477316162,0.027875206,0.027875206,0.775615388,1052,"tags=51%, list=19%, signal=42%",YPL004C/YIL033C/YGR086C/YLR380W/YAL056W/YOR371C/YML051W/YPL031C/YDL177C/YNL157W/YMR273C/YHL020C/YLR168C/YGL181W/YPR119W/YHR004C/YOR054C/YNL264C/YHR132W-A/YOR048C/YBR129C/YPL153C/YLR079W/YGL019W/YOR039W,1734,Revigo compressed
No,,GO:0045229,external encapsulating structure organization,238,-0.37453798,-1.290473563,0.028806584,0.028806584,0.786850945,1214,"tags=25%, list=22%, signal=20%",YLR342W/YMR022W/YBR005W/YHR139C/YLR413W/YJL201W/YJL174W/YFR042W/YHR079C/YLR300W/YOR134W/YDL095W/YMR273C/YLL031C/YMR068W/YDR055W/YLR461W/YKL163W/YOR008C/YOR190W/YDR027C/YMR239C/YOR113W/YMR305C/YOL047C/YBR301W/YER003C/YDR349C/YBL043W/YER046W/YLR390W-A/YOL132W/YHR185C/YER124C/YIL011W/YOL155C/YLR121C/YOR092W/YJR104C/YOR255W/YLR443W/YJL158C/YMR148W/YNL322C/YLR110C/YDR077W/YKL190W/YLR332W/YDR542W/YCR104W/YOR010C/YIR041W/YMR325W/YER150W/YNL161W/YLL025W/YEL049W/YLR037C/YDR273W,1734,Manually compressed, strain specific
No,,GO:0071555,cell wall organization,238,-0.37453798,-1.290473563,0.028806584,0.028806584,0.786850945,1214,"tags=25%, list=22%, signal=20%",YLR342W/YMR022W/YBR005W/YHR139C/YLR413W/YJL201W/YJL174W/YFR042W/YHR079C/YLR300W/YOR134W/YDL095W/YMR273C/YLL031C/YMR068W/YDR055W/YLR461W/YKL163W/YOR008C/YOR190W/YDR027C/YMR239C/YOR113W/YMR305C/YOL047C/YBR301W/YER003C/YDR349C/YBL043W/YER046W/YLR390W-A/YOL132W/YHR185C/YER124C/YIL011W/YOL155C/YLR121C/YOR092W/YJR104C/YOR255W/YLR443W/YJL158C/YMR148W/YNL322C/YLR110C/YDR077W/YKL190W/YLR332W/YDR542W/YCR104W/YOR010C/YIR041W/YMR325W/YER150W/YNL161W/YLL025W/YEL049W/YLR037C/YDR273W,1734,Revigo compressed
No,,GO:0033108,mitochondrial respiratory chain complex assembly,44,-0.515616809,-1.485272524,0.029116991,0.029116991,0.786850945,912,"tags=41%, list=17%, signal=34%",YKL053C-A/YLL009C/YBL059C-A/YBR044C/YMR035W/YJL003W/YEL059C-A/YER153C/YBR037C/YLR203C/YBR120C/YER058W/YOL071W/YGR183C/YDR381C-A/YGR112W/YDR511W/YER154W,1734,Manually compressed, strain specific
No,,GO:0071243,cellular response to arsenic-containing substance,6,0.75044555,1.604202181,0.029394455,0.029394455,0.786850945,188,"tags=33%, list=3%, signal=32%",YOR052C/YNL155W,1734,Manually compressed, strain specific
No,,GO:1901901,regulation of protein localization to cell division site involved in cytokinesis,3,0.868041613,1.517596839,0.029457298,0.029457298,0.786850945,726,"tags=100%, list=13%, signal=87%",YER133W/YGR092W/YDR195W,1734,Revigo compressed
No,,GO:0006432,phenylalanyl-tRNA aminoacylation,3,0.866597024,1.515071265,0.030171406,0.030171406,0.799529651,321,"tags=33%, list=6%, signal=31%",YPR047W,1734,Revigo compressed
No,,GO:0045292,"mRNA cis splicing, via spliceosome",12,-0.680643665,-1.509739472,0.031232423,0.031232423,0.814914446,738,"tags=50%, list=13%, signal=43%",YDR163W/YOR308C/YML046W/YDR243C/YPL178W/YDR235W,1734,Revigo compressed
No,,GO:0051098,regulation of binding,22,0.479204852,1.525681654,0.0312401,0.0312401,0.814914446,368,"tags=27%, list=7%, signal=26%",YPR086W/YPR052C/YDR098C/YJL090C/YDL106C/YBR160W,1734,Revigo compressed
No,,GO:1902280,regulation of RNA helicase activity,4,0.810835511,1.531994281,0.031625857,0.031625857,0.818581951,433,"tags=50%, list=8%, signal=46%",YPR163C/YGR162W,1734,Revigo compressed
No,,GO:0046083,adenine metabolic process,5,0.769578574,1.55826708,0.032031317,0.032031317,0.822699079,405,"tags=40%, list=7%, signal=37%",YDR408C/YML022W,1734,Revigo compressed
No,,GO:0043038,amino acid activation,39,0.401863361,1.431956423,0.033496235,0.033496235,0.842657094,1101,"tags=41%, list=20%, signal=33%",YPL097W/YHR019C/YNL247W/YHR020W/YPR047W/YGL105W/YER087W/YCR024C/YKL194C/YPL040C/YHR011W/YDR037W/YGR094W/YOL097C/YGR185C/YNL040W,1734,Revigo compressed
No,,GO:0043039,tRNA aminoacylation,39,0.401863361,1.431956423,0.033496235,0.033496235,0.842657094,1101,"tags=41%, list=20%, signal=33%",YPL097W/YHR019C/YNL247W/YHR020W/YPR047W/YGL105W/YER087W/YCR024C/YKL194C/YPL040C/YHR011W/YDR037W/YGR094W/YOL097C/YGR185C/YNL040W,1734,Revigo compressed
No,,GO:0106034,protein maturation by [2Fe-2S] cluster transfer,4,0.805643976,1.522185384,0.033898347,0.033898347,0.842657094,423,"tags=50%, list=8%, signal=46%",YJR122W/YGL018C,1734,Revigo compressed
No,,GO:0019284,L-methionine salvage from S-adenosylmethionine,4,0.805080698,1.521121125,0.033898347,0.033898347,0.842657094,599,"tags=50%, list=11%, signal=45%",YPL273W/YPR118W,1734,Revigo compressed
No,,GO:0044209,AMP salvage,3,0.854810718,1.49446527,0.034456056,0.034456056,0.842657094,590,"tags=67%, list=11%, signal=60%",YML022W/YJR105W,1734,Revigo compressed
No,,GO:0032989,cellular component morphogenesis,74,-0.446044833,-1.393722185,0.034562212,0.034562212,0.842657094,809,"tags=22%, list=15%, signal=19%",YDR027C/YNR049C/YMR183C/YOL047C/YOR177C/YER046W/YOL132W/YHR185C/YGR132C/YPL130W/YOL091W/YOR255W/YMR148W/YBR148W/YFL005W/YDR273W,1734,Revigo compressed
No,,GO:0106074,aminoacyl-tRNA metabolism involved in translational fidelity,8,0.680223118,1.622507545,0.034574975,0.034574975,0.842657094,1101,"tags=50%, list=20%, signal=40%",YHR020W/YPL040C/YGR094W/YNL040W,1734,Revigo compressed
No,,GO:0072527,pyrimidine-containing compound metabolic process,42,-0.504087824,-1.440010973,0.034994312,0.034994312,0.84669685,497,"tags=29%, list=9%, signal=26%",YHR144C/YNL332W/YOR074C/YPR121W/YDR520C/YDR081C/YNL333W/YOR303W/YBR092C/YLR245C/YLR420W/YKL067W,1734,Manually compressed, strain specific
No,,GO:0018195,peptidyl-arginine modification,5,0.765911308,1.550841484,0.035867359,0.035867359,0.849356198,742,"tags=60%, list=14%, signal=52%",YDR465C/YOR021C/YBR133C,1734,Revigo compressed
No,,GO:0018216,peptidyl-arginine methylation,5,0.765911308,1.550841484,0.035867359,0.035867359,0.849356198,742,"tags=60%, list=14%, signal=52%",YDR465C/YOR021C/YBR133C,1734,Revigo compressed
No,,GO:0035246,peptidyl-arginine N-methylation,5,0.765911308,1.550841484,0.035867359,0.035867359,0.849356198,742,"tags=60%, list=14%, signal=52%",YDR465C/YOR021C/YBR133C,1734,Revigo compressed
No,,GO:1902905,positive regulation of supramolecular fiber organization,26,-0.558063022,-1.468171044,0.036842105,0.036842105,0.851779781,492,"tags=27%, list=9%, signal=25%",YER016W/YBR234C/YDR201W/YOR122C/YBR233W-A/YKL138C-A/YMR138W,1734,Revigo compressed
No,,GO:0019751,polyol metabolic process,41,-0.503500941,-1.433891036,0.037082818,0.037082818,0.851779781,1393,"tags=34%, list=25%, signal=26%",YDR062W/YDR287W/YOR171C/YPL268W/YLR070C/YHR079C/YJL153C/YGR267C/YHL018W/YLL043W/YOR245C/YOR163W/YDR173C/YNL032W,1734,Revigo compressed
No,,GO:0070588,calcium ion transmembrane transport,8,-0.738638394,-1.493742123,0.037993921,0.037993921,0.851779781,29,"tags=25%, list=1%, signal=25%",YOR087W/YBR187W,1734,Manually compressed, strain specific
No,,GO:1902969,mitotic DNA replication,14,0.555141031,1.536046583,0.038203388,0.038203388,0.851779781,1219,"tags=50%, list=22%, signal=39%",YDR052C/YDL164C/YLR103C/YBL023C/YER095W/YEL032W/YIL131C,1734,Revigo compressed
No,,GO:0070898,RNA polymerase III preinitiation complex assembly,6,0.736669102,1.57475273,0.038314026,0.038314026,0.851779781,1448,"tags=100%, list=26%, signal=74%",YPR052C/YER148W/YNL039W/YGR246C/YMR039C/YBR089C-A,1734,Revigo compressed
No,,GO:0045143,homologous chromosome segregation,37,0.391739255,1.387716548,0.038332604,0.038332604,0.851779781,615,"tags=22%, list=11%, signal=19%",YPL209C/YDR439W/YML124C/YML085C/YBR160W/YPL204W/YCR086W/YJL074C,1734,Revigo compressed
No,,GO:0070481,"nuclear-transcribed mRNA catabolic process, non-stop decay",23,0.479212281,1.535299601,0.03841283,0.03841283,0.851779781,601,"tags=26%, list=11%, signal=23%",YPL199C/YNL232W/YLR021W/YGR158C/YOL142W/YLR398C,1734,Revigo compressed
No,,GO:0000096,sulfur amino acid metabolic process,47,-0.483162999,-1.411497328,0.038415366,0.038415366,0.851779781,841,"tags=26%, list=15%, signal=22%",YLR303W/YGR012W/YGL202W/YJR148W/YLL058W/YLR180W/YER091C/YLL062C/YMR321C/YBR084W/YJR139C/YMR009W,1734,Revigo compressed
No,,GO:0045324,late endosome to vacuole transport,58,0.354955812,1.377628896,0.038677604,0.038677604,0.851779781,877,"tags=26%, list=16%, signal=22%",YOR089C/YFL062W/YIL076W/YNL336W/YJR161C/YLR372W/YLR181C/YMR171C/YOL129W/YGL137W/YDL126C/YPL084W/YMR231W/YLR417W/YPL065W,1734,Revigo compressed
No,,GO:0031440,regulation of mRNA 3'-end processing,6,0.736096021,1.573527676,0.038719462,0.038719462,0.851779781,1341,"tags=67%, list=24%, signal=50%",YGL122C/YDR195W/YJR141W/YGR178C,1734,Revigo compressed
No,,GO:0042255,ribosome assembly,62,0.335177402,1.319674282,0.039027311,0.039027311,0.851779781,595,"tags=29%, list=11%, signal=26%",YOL080C/YKL156W/YGL189C/YFL002C/YDR418W/YNR037C/YGR159C/YLR167W/YPL193W/YIL148W/YOL077C/YGR148C/YIL110W/YCR031C/YMR229C/YHR066W/YNL185C/YGL031C,1734,Revigo compressed
No,,GO:0033673,negative regulation of kinase activity,23,-0.575124561,-1.482133852,0.039030956,0.039030956,0.851779781,118,"tags=43%, list=2%, signal=43%",YPL004C/YIL033C/YGR086C/YAL056W/YOR371C/YML051W/YDL177C/YLR079W/YGL019W/YOR039W,1734,Revigo compressed
No,,GO:0042274,ribosomal small subunit biogenesis,120,0.287284772,1.280836961,0.040840165,0.040840165,0.879967154,515,"tags=19%, list=9%, signal=18%",YNL207W/YML063W/YKL156W/YMR269W/YGR251W/YKL143W/YOL022C/YER074W/YNR037C/YNL147W/YGR159C/YER102W/YCL059C/YLR167W/YLR222C/YML026C/YPR137W/YGR103W/YPL204W/YCR031C/YCR047C/YMR229C/YPL266W,1734,Revigo compressed
No,,GO:0046039,GTP metabolic process,5,-0.814650683,-1.453878229,0.040849673,0.040849673,0.879967154,542,"tags=40%, list=10%, signal=36%",YLR432W/YKL067W,1734,Revigo compressed
No,,GO:0000390,spliceosomal complex disassembly,5,0.760426079,1.539734818,0.041249164,0.041249164,0.882338178,5,"tags=20%, list=0%, signal=20%",YGL128C,1734,Revigo compressed
No,,GO:0046084,adenine biosynthetic process,4,0.796601109,1.505099772,0.041488253,0.041488253,0.882338178,405,"tags=50%, list=7%, signal=46%",YDR408C/YML022W,1734,Revigo compressed
No,,GO:0046165,alcohol biosynthetic process,76,-0.435405577,-1.366760368,0.043728423,0.043728423,0.904243187,1393,"tags=36%, list=25%, signal=27%",YDR062W/YOL055C/YLR044C/YDR287W/YMR070W/YOR171C/YPL268W/YNL332W/YKL150W/YMR083W/YLR134W/YHR072W/YJL153C/YPR121W/YGR267C/YBR002C/YHR007C/YMR202W/YPL170W/YHL018W/YDR081C/YNL333W/YER044C/YGR175C/YDR173C/YML008C/YLR100W,1734,Revigo compressed
No,,GO:0010447,response to acidic pH,9,-0.707025978,-1.475138157,0.044313146,0.044313146,0.904243187,189,"tags=44%, list=3%, signal=43%",YCR102C/YPR008W/YLR332W/YER150W,1734,Revigo compressed
No,,GO:1903499,regulation of mitotic actomyosin contractile ring assembly,6,0.71955439,1.538167189,0.044411545,0.044411545,0.904243187,861,"tags=83%, list=16%, signal=70%",YER133W/YFR028C/YBR160W/YDR195W/YLR425W,1734,Revigo compressed
No,,GO:2000431,"regulation of cytokinesis, actomyosin contractile ring assembly",6,0.71955439,1.538167189,0.044411545,0.044411545,0.904243187,861,"tags=83%, list=16%, signal=70%",YER133W/YFR028C/YBR160W/YDR195W/YLR425W,1734,Revigo compressed
No,,GO:0000752,agglutination involved in conjugation with cellular fusion,4,-0.850545464,-1.439198312,0.044481054,0.044481054,0.904243187,436,"tags=75%, list=8%, signal=69%",YNR044W/YGL032C/YLR110C,1734,Revigo compressed
No,,GO:0050826,response to freezing,3,-0.883943045,-1.383440942,0.044596913,0.044596913,0.904243187,134,"tags=67%, list=2%, signal=65%",YPR026W/YOR010C,1734,Revigo compressed
No,,GO:0071497,cellular response to freezing,3,-0.883943045,-1.383440942,0.044596913,0.044596913,0.904243187,134,"tags=67%, list=2%, signal=65%",YPR026W/YOR010C,1734,Revigo compressed
No,,GO:0010563,negative regulation of phosphorus metabolic process,50,-0.491178609,-1.454685762,0.044860234,0.044860234,0.904243187,1052,"tags=32%, list=19%, signal=26%",YNL157W/YMR273C/YHL020C/YLR168C/YGL181W/YPR119W/YHR004C/YOR054C/YNL264C/YHR132W-A/YOR048C/YBR129C/YPL153C/YLR079W/YGL019W/YOR039W,1734,Revigo compressed
No,,GO:0031134,sister chromatid biorientation,10,0.653004839,1.667620603,0.045025082,0.045025082,0.904243187,1558,"tags=90%, list=28%, signal=65%",YBR160W/YGR113W/YDL126C/YGR188C/YBL058W/YOR014W/YGL093W/YDL028C/YJR089W,1734,Revigo compressed
No,,GO:0016926,protein desumoylation,6,0.718908433,1.536786347,0.045226413,0.045226413,0.904243187,1276,"tags=67%, list=23%, signal=51%",YMR308C/YLR347C/YIL031W/YAR002W,1734,Revigo compressed
No,,GO:0071028,nuclear mRNA surveillance,22,-0.577068734,-1.465552149,0.045883941,0.045883941,0.911928945,672,"tags=27%, list=12%, signal=24%",YOR048C/YGR095C/YDL111C/YBL051C/YHR081W/YNR024W,1734,Revigo compressed
No,,GO:1990116,ribosome-associated ubiquitin-dependent protein catabolic process,7,0.692593677,1.581834858,0.046162986,0.046162986,0.912046039,1687,"tags=86%, list=31%, signal=59%",YDR333C/YDL126C/YBR170C/YGR048W/YPL009C/YMR247C,1734,Manually compressed, strain specific
No,,GO:0032988,ribonucleoprotein complex disassembly,8,0.651446435,1.553867735,0.049387305,0.049387305,0.970009476,1648,"tags=88%, list=30%, signal=61%",YGL128C/YMR216C/YAL005C/YOR204W/YLL026W/YGL120C/YLR424W,1734,Revigo compressed
No,,GO:0001934,positive regulation of protein phosphorylation,40,0.376938865,1.359537441,0.04999652,0.04999652,0.973526979,795,"tags=32%, list=15%, signal=28%",YHR107C/YDL130W/YDR052C/YLR418C/YJL090C/YKL189W/YPL194W/YLR423C/YNL298W/YBR279W/YKL048C/YDR460W/YFL034C-B,1734,Revigo compressed
No,,GO:0006412,translation,464,0.359663837,1.636257276,7.80E-07,7.80E-07,0.001518439,674,"tags=23%, list=12%, signal=22%",YJL136C/YKL056C/YDL130W/YKL170W/YBL087C/YLR344W/YDL224C/YDR500C/YLR204W/YDL136W/YDR471W/YOR234C/YPL118W/YMR143W/YFR032C-A/YKL156W/YPL005W/YML129C/YPL183W-A/YPL013C/YLR249W/YML063W/YPR102C/YMR230W/YIL069C/YLR262C-A/YLR075W/YIL133C/YJR097W/YGR102C/YPR166C/YJL177W/YJR094W-A/YLR333C/YDR385W/YIL148W/YHL034C/YDR447C/YOL039W/YDR347W/YMR188C/YHR189W/YML026C/YLR215C/YLR289W/YDR374C/YGR222W/YOL121C/YER007C-A/YDL082W/YLR264W/YJR145C/YDR450W/YNL302C/YLR150W/YHR203C/YBL027W/YGL189C/YGL129C/YDR025W/YMR286W/YDR237W/YLR287C-A/YPR100W/YMR260C/YOL149W/YOR167C/YDL191W/YPL090C/YIL052C/YBR282W/YNL040W/YDL134C/YPL097W/YFR031C-A/YDR152W/YLR406C/YOR359W/YDR337W/YOR276W/YDR012W/YLR367W/YKL166C/YNL063W/YKL081W/YOR302W/YLR185W/YLR441C/YNR045W/YDR432W/YNL122C/YGR214W/YDR496C/YNL288W/YER056C-A/YER131W/YNR036C/YNR037C/YGR027C/YGL147C/YGR054W/YPL184C/YDR266C/YLR448W/YKL139W,1736,Revigo compressed
No,,GO:0002181,cytoplasmic translation,167,0.460830279,1.868464336,9.58E-07,9.58E-07,0.001518439,624,"tags=34%, list=11%, signal=31%",YJL136C/YKL056C/YDL130W/YBL087C/YLR344W/YDR500C/YDL136W/YDR471W/YOR234C/YMR143W/YFR032C-A/YKL156W/YML063W/YPR102C/YMR230W/YIL069C/YLR262C-A/YLR075W/YIL133C/YJR097W/YJL177W/YJR094W-A/YLR333C/YIL148W/YDR447C/YOL039W/YML026C/YOL121C/YER007C-A/YDL082W/YLR264W/YJR145C/YDR450W/YNL302C/YHR203C/YBL027W/YGL189C/YDR025W/YLR287C-A/YMR260C/YOR167C/YDL191W/YPL090C/YIL052C/YFR031C-A/YDR152W/YLR406C/YDR012W/YLR367W/YKL166C/YLR185W/YLR441C/YGR214W/YER056C-A/YER131W/YGR027C/YGL147C,1736,Revigo compressed
